Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-12-16 00:00:00+05:30,1218.4529445804558,1219.1729285934045,1198.2453464097318,1207.0291748046875,5663788,0.0,0.0,HDFCBANK.NS
2019-12-17 00:00:00+05:30,1209.573020875839,1223.7807508521446,1205.109097004677,1220.228759765625,6213677,0.0,0.0,HDFCBANK.NS
2019-12-18 00:00:00+05:30,1231.6523984146113,1247.0120542015434,1222.6766230010978,1240.628173828125,8723586,0.0,0.0,HDFCBANK.NS
2019-12-19 00:00:00+05:30,1252.772065335272,1253.252054632335,1234.6284464693008,1237.220458984375,6509188,0.0,0.0,HDFCBANK.NS
2019-12-20 00:00:00+05:30,1237.1724162504615,1247.5881605856023,1228.8206493347916,1244.80419921875,7513022,0.0,0.0,HDFCBANK.NS
2019-12-23 00:00:00+05:30,1247.0121724456828,1251.8120653342344,1237.2204378269919,1250.276123046875,5097891,0.0,0.0,HDFCBANK.NS
2019-12-24 00:00:00+05:30,1246.62814709349,1249.0280935175822,1235.4443733202434,1237.556396484375,3589604,0.0,0.0,HDFCBANK.NS
2019-12-26 00:00:00+05:30,1238.0843239361693,1240.1483013137852,1214.0369308922166,1219.604736328125,7474879,0.0,0.0,HDFCBANK.NS
2019-12-27 00:00:00+05:30,1221.0927205882354,1227.8125704656863,1219.1727634803922,1223.97265625,3546496,0.0,0.0,HDFCBANK.NS
2019-12-30 00:00:00+05:30,1230.6926496850108,1237.172505679842,1223.0608661650565,1230.836669921875,4667095,0.0,0.0,HDFCBANK.NS
2019-12-31 00:00:00+05:30,1230.644486221246,1230.644486221246,1217.8768414963592,1221.188720703125,4178528,0.0,0.0,HDFCBANK.NS
2020-01-01 00:00:00+05:30,1225.0286424173514,1228.7725823160727,1219.748760227712,1227.4285888671875,1836849,0.0,0.0,HDFCBANK.NS
2020-01-02 00:00:00+05:30,1227.81260738962,1236.4524146347387,1227.81260738962,1235.25244140625,3068583,0.0,0.0,HDFCBANK.NS
2020-01-03 00:00:00+05:30,1230.8844747666276,1233.5724616348048,1213.0288968134041,1217.6368408203125,5427775,0.0,0.0,HDFCBANK.NS
